,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_x,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DELAY_OR_NOT,AIRPORT_x,CITY_x,STATE_x,LATITUDE_x,LONGITUDE_x,AIRPORT_y,CITY_y,STATE_y,LATITUDE_y,LONGITUDE_y,Percentage Delayed,Departure Delay Mean,Arrival Delay Mean,DATE
798816,2015,2,27,5,OO,Skywest Airlines Inc.,4673,N8932C,SLC,BUR,19:56:00,19:50:00,-6.0,18.0,20:08:00,124.0,113.0,93.0,574,20:41:00,2.0,21:00:00,20:43:00,-17.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585,31.977162843328877,22.10020910406949,25.83927939520669,2015-02-27
1340681,2015,8,1,6,B6,JetBlue Airways,534,N593JB,SFO,BOS,10:28:00,10:27:00,-1.0,10.0,10:37:00,340.0,309.0,295.0,2704,18:32:00,4.0,19:08:00,18:36:00,-32.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518,37.954705151072915,32.84568142979208,33.873825121048135,2015-08-01
5134858,2015,5,16,6,MQ,American Eagle Airlines Inc.,3525,N699MQ,CMI,ORD,18:05:00,18:03:00,-2.0,9.0,18:12:00,63.0,55.0,38.0,135,18:50:00,8.0,19:08:00,18:58:00,-10.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,University of Illinois - Willard Airport,Champaign/Urbana,IL,40.03925,-88.27806,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,29.017013232514177,38.586319218241044,48.343648208469055,2015-05-16
4947264,2015,11,15,7,DL,Delta Air Lines Inc.,1828,N908DL,SAV,ATL,10:15:00,10:09:00,-6.0,11.0,10:20:00,72.0,58.0,41.0,214,11:01:00,6.0,11:27:00,11:07:00,-20.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Savannah/Hilton Head International Airport,Savannah,GA,32.12758,-81.20214,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,34.44709626093874,35.58083140877598,38.922247882986916,2015-11-15
2460390,2015,12,19,6,WN,Southwest Airlines Co.,1425,N8315C,BWI,PHX,15:45:00,15:45:00,0.0,14.0,15:59:00,315.0,307.0,285.0,1999,18:44:00,8.0,19:00:00,18:52:00,-8.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806,40.6359274619826,33.50378798707796,34.14837473912919,2015-12-19
1117491,2015,9,16,3,DL,Delta Air Lines Inc.,2493,N670DN,MSP,PDX,15:10:00,15:38:00,28.0,13.0,15:51:00,213.0,219.0,198.0,1426,17:09:00,8.0,16:43:00,17:17:00,34.0,0,0,,6.0,0.0,28.0,0.0,0.0,True,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692,Portland International Airport,Portland,OR,45.58872,-122.5975,33.48377141735865,25.80892890439786,30.049758930236276,2015-09-16
1097799,2015,6,26,5,EV,Atlantic Southeast Airlines,4171,N14920,EWR,MSN,16:21:00,18:28:00,127.0,22.0,18:50:00,153.0,158.0,128.0,799,19:58:00,8.0,17:54:00,20:06:00,132.0,0,0,,5.0,0.0,86.0,41.0,0.0,True,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,Dane County Regional Airport,Madison,WI,43.13986,-89.33751,35.37908265534725,39.0636838304727,39.73129478420263,2015-06-26
1690251,2015,1,8,4,UA,United Air Lines Inc.,432,N804UA,ORD,CLT,13:16:00,14:04:00,48.0,18.0,14:22:00,115.0,96.0,71.0,599,16:33:00,7.0,16:11:00,16:40:00,29.0,0,0,,0.0,0.0,0.0,0.0,29.0,True,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,39.62481286116047,37.05203873553376,39.5671030446412,2015-01-08
5003622,2015,6,24,3,EV,Atlantic Southeast Airlines,5818,N33182,TYS,DEN,08:58:00,08:49:00,-9.0,17.0,09:06:00,192.0,208.0,157.0,1162,09:43:00,34.0,10:10:00,10:17:00,7.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,McGhee Tyson Airport,Knoxville,TN,35.81249,-83.99286,Denver International Airport,Denver,CO,39.85841,-104.667,38.273732586528794,33.79924953095685,40.39812382739212,2015-06-24
1512315,2015,9,26,6,B6,JetBlue Airways,749,N624JB,DCA,TPA,16:45:00,16:45:00,0.0,15.0,17:00:00,142.0,144.0,124.0,814,19:04:00,5.0,19:07:00,19:09:00,2.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772,Tampa International Airport,Tampa,FL,27.97547,-82.53325,32.96609480445565,29.93237966045957,36.55917293542155,2015-09-26
