,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_x,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DELAY_OR_NOT,AIRPORT_x,CITY_x,STATE_x,LATITUDE_x,LONGITUDE_x,AIRPORT_y,CITY_y,STATE_y,LATITUDE_y,LONGITUDE_y,Percentage Delayed,Departure Delay Mean,Arrival Delay Mean,DATE
513144,2015,5,6,3,WN,Southwest Airlines Co.,1316,N214WN,DEN,PHL,18:15:00,18:33:00,18.0,11.0,18:44:00,210.0,207.0,190.0,1558,23:54:00,6.0,23:45:00,00:00:00,15.0,0,0,,0.0,0.0,0.0,4.0,11.0,True,Denver International Airport,Denver,CO,39.85841,-104.667,Philadelphia International Airport,Philadelphia,PA,39.87195,-75.24114,41.19048226263038,30.891128832532566,32.91439645351429,2015-05-06
5212385,2015,7,21,2,EV,Atlantic Southeast Airlines,5183,N882AS,MGM,ATL,15:21:00,15:15:00,-6.0,54.0,16:09:00,57.0,98.0,33.0,147,17:42:00,11.0,17:18:00,17:53:00,35.0,0,0,,35.0,0.0,0.0,0.0,0.0,True,Montgomery Regional Airport,Montgomery,AL,32.30064,-86.39398,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,40.397350993377486,27.12568306010929,33.149882903981265,2015-07-21
2440460,2015,11,25,3,B6,JetBlue Airways,821,N613JB,BOS,PBI,14:20:00,14:15:00,-5.0,12.0,14:27:00,193.0,173.0,158.0,1197,17:05:00,3.0,17:33:00,17:08:00,-25.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Gen. Edward Lawrence Logan International Airport,Boston,MA,42.36435,-71.00518,Palm Beach International Airport,West Palm Beach,FL,26.68316,-80.09559,35.91662262278969,30.034774751516718,35.44770879049955,2015-11-25
2115638,2015,9,17,4,HA,Hawaiian Airlines Inc.,173,N478HA,HNL,LIH,13:51:00,13:50:00,-1.0,14.0,14:04:00,42.0,42.0,22.0,102,14:26:00,6.0,14:33:00,14:32:00,-1.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Honolulu International Airport,Honolulu,HI,21.31869,-157.92241,Lihue Airport,Lihue,HI,21.97598,-159.33896,35.81719633095525,14.801138200866585,19.114984155726574,2015-09-17
2280604,2015,1,21,3,DL,Delta Air Lines Inc.,1699,N959AT,DTW,BWI,14:04:00,14:02:00,-2.0,44.0,14:46:00,102.0,109.0,61.0,409,15:47:00,4.0,15:46:00,15:51:00,5.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682,33.438709677419354,31.526032909787492,35.202447562084835,2015-01-21
1090542,2015,1,23,5,WN,Southwest Airlines Co.,1819,N951WN,EWR,HOU,06:00:00,05:54:00,-6.0,39.0,06:33:00,255.0,279.0,235.0,1411,09:28:00,5.0,09:15:00,09:33:00,18.0,0,0,,18.0,0.0,0.0,0.0,0.0,True,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,William P. Hobby Airport,Houston,TX,29.64542,-95.27889,35.37908265534725,39.0636838304727,39.73129478420263,2015-01-23
4707833,2015,7,28,2,B6,JetBlue Airways,454,N523JB,PBI,JFK,19:52:00,20:40:00,48.0,9.0,20:49:00,176.0,170.0,151.0,1028,23:20:00,10.0,22:48:00,23:30:00,42.0,0,0,,42.0,0.0,0.0,0.0,0.0,True,Palm Beach International Airport,West Palm Beach,FL,26.68316,-80.09559,John F. Kennedy International Airport (New York International Airport),New York,NY,40.63975,-73.77893,39.17512071944358,35.245504919145084,37.063666176636886,2015-07-28
1861712,2015,11,19,4,AA,American Airlines Inc.,71,N3FVAA,DFW,LAS,17:05:00,18:37:00,92.0,19.0,18:56:00,182.0,176.0,149.0,1055,19:25:00,8.0,18:07:00,19:33:00,86.0,0,0,,0.0,0.0,0.0,86.0,0.0,True,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,38.84517284419602,32.11307412900037,34.16857953446386,2015-11-19
1687936,2015,8,29,6,AA,American Airlines Inc.,833,N940UW,ORD,CLT,07:15:00,07:15:00,0.0,17.0,07:32:00,121.0,112.0,81.0,599,09:53:00,14.0,10:16:00,10:07:00,-9.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313,39.62481286116047,37.05203873553376,39.5671030446412,2015-08-29
621886,2015,9,12,6,NK,Spirit Air Lines,360,N620NK,OAK,LAS,13:48:00,13:42:00,-6.0,8.0,13:50:00,84.0,84.0,68.0,407,14:58:00,8.0,15:12:00,15:06:00,-6.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Oakland International Airport,Oakland,CA,37.72129,-122.22072,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,43.503639285376686,24.403281003856808,25.718507251887665,2015-09-12
