,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE_x,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,DELAY_OR_NOT,AIRPORT_x,CITY_x,STATE_x,LATITUDE_x,LONGITUDE_x,AIRPORT_y,CITY_y,STATE_y,LATITUDE_y,LONGITUDE_y,Percentage Delayed,Departure Delay Mean,Arrival Delay Mean,DATE
1768061,2015,12,13,7,MQ,American Eagle Airlines Inc.,3269,N635MQ,ORD,CID,13:49:00,13:50:00,1.0,23.0,14:13:00,69.0,68.0,39.0,196,14:52:00,6.0,14:58:00,14:58:00,0.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,The Eastern Iowa Airport,Cedar Rapids,IA,41.88459,-91.71087,39.62481286116047,37.05203873553376,39.5671030446412,2015-12-13
2639881,2015,7,14,2,WN,Southwest Airlines Co.,555,N632SW,MCO,BHM,08:15:00,08:11:00,-4.0,7.0,08:18:00,90.0,82.0,71.0,479,08:29:00,4.0,08:45:00,08:33:00,-12.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Orlando International Airport,Orlando,FL,28.42889,-81.31603,Birmingham-Shuttlesworth International Airport,Birmingham,AL,33.56294,-86.75355,37.23666900938891,35.90524125248028,37.849247447127716,2015-07-14
1269382,2015,9,21,1,VX,Virgin America,260,N854VA,SFO,LAS,19:45:00,19:56:00,11.0,26.0,20:22:00,90.0,99.0,66.0,414,21:28:00,7.0,21:15:00,21:35:00,20.0,0,0,,20.0,0.0,0.0,0.0,0.0,True,San Francisco International Airport,San Francisco,CA,37.619,-122.37484,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233,37.954705151072915,32.84568142979208,33.873825121048135,2015-09-21
4881159,2015,3,25,3,WN,Southwest Airlines Co.,1454,N726SW,PVD,PBI,07:00:00,06:58:00,-2.0,9.0,07:07:00,190.0,170.0,155.0,1148,09:42:00,6.0,10:10:00,09:48:00,-22.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Theodore Francis Green State Airport,Providence,RI,41.724,-71.42822,Palm Beach International Airport,West Palm Beach,FL,26.68316,-80.09559,29.815518176885515,30.029420685471642,33.889899909008186,2015-03-25
1042796,2015,1,27,2,WN,Southwest Airlines Co.,1831,,EWR,DEN,12:05:00,,,,,280.0,,,1605,,,14:45:00,,,0,1,B,0.0,0.0,0.0,0.0,0.0,False,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866,Denver International Airport,Denver,CO,39.85841,-104.667,35.37908265534725,39.0636838304727,39.73129478420263,2015-01-27
3253121,2015,1,25,7,B6,JetBlue Airways,526,N554JB,TPA,JFK,11:20:00,11:13:00,-7.0,11.0,11:24:00,153.0,140.0,124.0,1005,13:28:00,5.0,13:53:00,13:33:00,-20.0,0,0,,0.0,0.0,0.0,0.0,0.0,False,Tampa International Airport,Tampa,FL,27.97547,-82.53325,John F. Kennedy International Airport (New York International Airport),New York,NY,40.63975,-73.77893,34.538228022407914,34.06551286698079,35.62527183762233,2015-01-25
2736517,2015,4,20,1,UA,United Air Lines Inc.,1220,N57852,IAH,LAX,15:41:00,15:35:00,-6.0,28.0,16:03:00,216.0,232.0,181.0,1379,17:04:00,23.0,17:17:00,17:27:00,10.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807,40.8015168255787,30.773569136132657,32.97609654987965,2015-04-20
4570604,2015,6,1,1,AA,American Airlines Inc.,371,N3HAAA,LGA,ORD,21:00:00,23:52:00,172.0,15.0,00:07:00,165.0,142.0,116.0,733,01:03:00,11.0,22:45:00,01:14:00,149.0,0,0,,0.0,0.0,28.0,121.0,0.0,True,LaGuardia Airport (Marine Air Terminal),New York,NY,40.77724,-73.87261,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446,36.37969981426635,38.468567170769404,43.40197593553372,2015-06-01
3175140,2015,6,15,1,EV,Atlantic Southeast Airlines,4927,N857AS,ATL,ROA,12:12:00,13:18:00,66.0,12.0,13:30:00,80.0,76.0,61.0,357,14:31:00,3.0,13:32:00,14:34:00,62.0,0,0,,0.0,0.0,62.0,0.0,0.0,True,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,33.64044,-84.42694,Roanoke Regional Airport (Woodrum Field),Roanoke,VA,37.32547,-79.97543,33.119976011717355,30.210617034612437,31.051239640643498,2015-06-15
769689,2015,2,3,2,OO,Skywest Airlines Inc.,4653,N823SK,SLC,DFW,09:42:00,10:07:00,25.0,10.0,10:17:00,160.0,141.0,123.0,989,13:20:00,8.0,13:22:00,13:28:00,6.0,0,0,,0.0,0.0,0.0,0.0,0.0,True,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372,31.977162843328877,22.10020910406949,25.83927939520669,2015-02-03
